,show_title,id,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
54,Last Seen Alive,tt10242388,movie,Will's soon-to-be ex-wife mysteriously vanishes at a gas station. He delves into the town's criminal underbelly while running from the authorities in a race against time to find her.,2022,R,95 min,"Action, Drama, Mystery",United States,tt10242388,5.6,"16,778"
55,Lou,tt5315210,movie,"A storm rages. A young girl is kidnapped. Her mother teams up with the mysterious woman next door to pursue the kidnapper, a journey that tests their limits and exposes shocking secrets from their pasts.",2022,R,107 min,"Action, Crime, Drama",United States,tt5315210,6.1,"19,805"
56,Minions,tt2293640,movie,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.",2015,PG,91 min,"Animation, Adventure, Comedy","United States, United Kingdom",tt2293640,6.4,"239,317"
57,Athena,tt15445056,movie,"Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos.",2022,R,99 min,"Action, Drama, Thriller",France,tt15445056,6.8,"11,166"
58,Ranga Ranga Vaibhavanga,tt15509564,movie,"Two childhood buddies develop a dislike for each other after an event, which continues even after they become adults. When they enroll in the same medical college, they decide to patch up and gradually develop fondness for each ot...",2022,N/A,122 min,"Comedy, Drama, Romance",India,tt15509564,5.1,683
59,Saakini Daakini,tt12874984,movie,"Two police trainees witness the kidnapping of a girl one night on their way home. Unable to get help from the local police and determined to rescue the girl, they set out on their own amateur investigation.",2022,N/A,118 min,"Action, Comedy",India,tt12874984,6.0,547
60,Cyberpunk: Edgerunners,tt12590266,series,"A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk.",2022–,TV-MA,N/A,"Animation, Action, Adventure","Poland, United States",tt12590266,8.4,"38,251"
61,Narco Saints,tt9631156,series,The life-threatening journey of a civilian businessman who has no choice but to cooperate with the secret operation of the National Intelligence Service.,2019–,N/A,N/A,Crime,United States,tt9631156,7.2,200
62,Diary of a Gigolo,tt16481820,series,A gigolo's life begins to unravel when he becomes involved in a client's family affairs and violates the fundamental rule of his job: don't fall in love.,2022,TV-MA,N/A,"Crime, Drama, Mystery","United States, Argentina",tt16481820,6.5,936
63,Do Revenge,tt13327038,movie,Drea and Eleanor agree to go after one another's bullies.,2022,TV-MA,118 min,Comedy,United States,tt13327038,6.3,"31,964"
64,A Jazzman's Blues,tt14307536,movie,"Follows an investigation into an unsolved murder unveiling a story full of forbidden love, deceit and a secret.",2022,R,127 min,Drama,United States,tt14307536,6.7,"2,671"
65,Inheritance,tt7923220,movie,"The patriarch of a wealthy and powerful family suddenly passes away, leaving his daughter with a shocking secret inheritance that threatens to unravel and destroy the family.",2020,TV-MA,111 min,"Drama, Mystery, Thriller",United States,tt7923220,5.5,"15,191"
66,Father Stu,tt14439896,movie,"Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption.",2022,R,124 min,"Biography, Drama","United States, South Korea",tt14439896,6.5,"18,269"
67,Elysium,tt1535108,movie,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",2013,R,109 min,"Action, Drama, Sci-Fi","United States, Canada",tt1535108,6.6,"448,405"
68,The Perfumier,tt21916206,movie,"A police detective tries to get back his girlfriend as well as his sense of smell, as he gets help from a perfume maker who uses deadly methods to find the perfect perfume.",2022,TV-MA,96 min,"Crime, Drama, Mystery",Germany,tt21916206,3.6,990
69,No Limit,tt14995258,movie,Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean's descent.,2022,TV-MA,118 min,"Drama, Romance, Sport",France,tt14995258,5.8,"2,149"
70,El Jeremías,tt4457020,movie,"Set in Sonora Mexico, the film tells the story of Jeremías an eight year old who finds out he is a gifted child and initiates a journey of self discovery.",2015,PG-13,95 min,"Comedy, Drama, Family",Mexico,tt4457020,7.2,969
71,Drifting Home,tt15494038,movie,Follows two childhood friends who drift into a mysterious sea with an entire housing complex.,2022,PG,119 min,"Animation, Adventure, Drama",Japan,tt15494038,6.2,"1,659"
72,Inside the World's Toughest Prisons,tt6322264,series,"Imagine being in jail. Now imagine living in a foreign country. Scary? Paul Connelly takes you inside these jails. He shows what living conditions are for the inmates, as well as the guards. You'll never look at prison the same.",2016–2022,TV-MA,47 min,Documentary,United Kingdom,tt6322264,7.2,"3,206"
73,Thai Cave Rescue,tt8726102,series,"TV series that chronicles the rescue of the 12 boys and their soccer coach, who were trapped for two weeks in flooded caves in Thailand during the summer of 2018.",2022,TV-14,2 min,"Adventure, Drama, Thriller","Thailand, United States",tt8726102,7.8,"1,193"
74,I Used to Be Famous,tt15807910,movie,"Follows Vince, a desperate former popstar who dreams of making a comeback. An impromptu jam session with autistic young drummer Stevie sparks an unexpected friendship between the two misunderstood musicians.",2022,TV-14,104 min,"Comedy, Drama, Music",United Kingdom,tt15807910,6.6,"5,874"
75,Me Time,tt14309446,movie,Follows a dad who finds time for himself for the first time in years while his wife and kids are away. He reconnects with a friend for a wild weekend.,2022,R,101 min,Comedy,United States,tt14309446,5.0,"30,599"
76,End of the Road,tt13655328,movie,"In this high-octane action thriller, a cross-country road trip becomes a highway to hell for Brenda and her family. Alone in the New Mexico desert, they have to fight for their lives when they become the targets of a mysterious ki...",2022,R,89 min,"Action, Crime, Drama",United States,tt13655328,4.7,"6,383"
77,This Is the End,tt1245492,movie,"Six Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only have to face the apocalypse, but themselves.",2013,R,107 min,"Comedy, Fantasy",United States,tt1245492,6.6,"412,953"
78,Dolittle,tt6673612,movie,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,2020,PG,101 min,"Adventure, Comedy, Family","United States, China, United Kingdom, Japan",tt6673612,5.6,"64,825"
79,The Catholic School,tt10345782,movie,"In late September 1975, a renowned Catholic school in Rome for sheltered, upper-middle-class boys is attacked in what became known as the Circeo Massacre. The film examines what triggered the violence.",2021,TV-MA,106 min,Drama,Italy,tt10345782,5.7,"2,029"
80,Mat Kilau,tt11347146,movie,The film is inspired by the epic Malaysian historical figure Mat Kilau who had fought against the British colonists in Pahang before independence.,2022,N/A,117 min,"Action, Adventure, Drama",Malaysia,tt11347146,5.7,"1,384"
81,Broad Peak,tt8983230,movie,"After climbing Broad Peak mountain, Maciej Berbeka learns his journey to the summit is incomplete. 25 years later, he sets out to finish what he started.",2022,TV-MA,101 min,"Adventure, Biography, Drama",Poland,tt8983230,5.9,"1,151"
82,The Imperfects,tt14502728,series,"After an experimental gene therapy turns them into monsters, three twenty-somethings band together to hunt down the scientist responsible and force him to make them human again.",2022–,TV-MA,N/A,"Action, Adventure, Drama","Canada, United States",tt14502728,6.4,"4,454"
83,Sins of Our Mother,tt21867596,series,"When Lori Vallow's kids vanished, the search for them unearthed a trail of suspicious deaths, a new husband who shared her doomsday views - and murder.",2022,TV-14,N/A,"Documentary, Crime, Mystery",United States,tt21867596,7.0,"3,072"
84,Santo,tt14278524,series,"Santo is a drug dealer whose face has never been revealed. Two policemen who go after him, Millán and Cardona, radically opposed, will have to learn to collaborate to solve the case and keep their lives safe.",2022–,TV-MA,N/A,"Action, Crime, Drama",Spain,tt14278524,5.0,653
85,High Heat,tt17641200,series,"When clues to his brother's murder lead Poncho to a fire brigade, he joins it to investigate further and finds romance, family - and a serial killer.",2022–,TV-MA,N/A,Drama,Mexico,tt17641200,6.1,485
86,Love in the Villa,tt15463032,movie,"A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and she'll have to share her vacation with a cynical British man.",2022,TV-14,114 min,"Comedy, Romance",United States,tt15463032,5.3,"8,891"
87,Morbius,tt5108870,movie,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",2022,PG-13,104 min,"Action, Adventure, Horror",United States,tt5108870,5.2,"113,810"
88,I Came By,tt15083184,movie,Follows a young graffiti artist who discovers a shocking secret that would put him and the ones closest to him in danger.,2022,TV-MA,110 min,Thriller,United Kingdom,tt15083184,6.1,"22,119"
89,Despicable Me 2,tt1690953,movie,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",2013,PG,98 min,"Animation, Adventure, Comedy","United States, France, Japan",tt1690953,7.3,"400,620"
90,The Invisible Man,tt1051906,movie,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",2020,R,124 min,"Drama, Horror, Mystery","Australia, United States",tt1051906,7.1,"227,236"
91,Ek Villain Returns,tt11947158,movie,The story of two men in one sided love. The paths they choose to fulfill their love stories decide who the Hero is and who is the Villain.,2022,N/A,129 min,"Action, Romance, Thriller",India,tt11947158,4.5,"14,286"
92,Jogi,tt21848358,movie,"Amid tension in 1980s India, three friends of different faiths unite in a noble yet dangerous effort to save hundreds in their town.",2022,TV-MA,116 min,"Drama, History, Thriller",India,tt21848358,7.2,"5,466"
93,Fenced In,tt21742248,movie,Walter moves from the city out to the countryside after a nervous breakdown. But his dream of a peaceful life is ruined when he meets his loud neighbors.,2022,TV-MA,110 min,Comedy,Brazil,tt21742248,4.3,484
94,Devil in Ohio,tt15432016,series,"When a psychiatrist shelters a mysterious cult escapee, her world is turned upside down as the girl's arrival threatens to tear her own family apart.",2022,TV-MA,N/A,"Drama, Horror, Mystery","Canada, United States",tt15432016,5.9,"12,900"
95,The Sandman,tt1751634,series,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",2022–,TV-MA,1 min,"Drama, Fantasy, Horror","United Kingdom, United States",tt1751634,7.7,"124,331"
96,The Lørenskog Disappearance,tt15264452,series,"When a billionaire's wife vanishes, Norwegian police must deal with the frenzied press and deceitful informants to find the truth. Based on real events.",2021,TV-MA,N/A,"Documentary, Crime, Drama",Norway,tt15264452,6.1,"1,071"
97,White Chicks,tt0381707,movie,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.,2004,PG-13,109 min,"Comedy, Crime",United States,tt0381707,5.7,"146,593"
98,Hanna,tt0993842,movie,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",2011,PG-13,111 min,"Action, Adventure, Drama","United States, United Kingdom, Germany",tt0993842,6.8,"199,691"
99,Triple 9,tt1712261,movie,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,2016,R,115 min,"Action, Crime, Thriller",United States,tt1712261,6.3,"72,688"
100,Labor Day,tt1967545,movie,"Depressed single mom Adele and her son Henry offer a wounded, fearsome man a ride. As police search town for the escaped convict, the mother and son gradually learn his true story as their options become increasingly limited.",2013,PG-13,111 min,"Drama, Romance, Thriller",United States,tt1967545,6.9,"47,683"
101,Seoul Vibe,tt13611770,movie,The drivers of the Sanggye-dong Supreme Team become mired in the slush fund investigation of a powerful person on the very day of the 1988 Seoul Olympics opening ceremony.,2022,TV-MA,138 min,"Action, Comedy, Crime",South Korea,tt13611770,5.5,"1,363"
102,Hit: The First Case,tt13130760,movie,"Vikram is a 32-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost.",2022,N/A,132 min,"Action, Crime, Drama",India,tt13130760,6.9,"12,661"
103,"For Better, for Worse",tt0010137,movie,"Dr. Edward Meade and friend Richard Burton both love Sylvia Norcross. Both enlist in the military, but Meade stays back to care for deformed children. Sylvia thinks him a coward and marries Burton. After Burton is presumed dead, M...",1919,N/A,70 min,Drama,United States,tt0010137,5.9,740
104,HollyBlood,tt14210720,movie,"Javi, a perfectly ordinary teenager who doesn't suspect that his crush on Sara might be reciprocated. Through a string of misunderstandings, Sara comes to believe that Javi is in possession of supernatural powers.",2022,N/A,87 min,"Comedy, Fantasy, Horror",Spain,tt14210720,4.3,739
105,The Festival of Troubadours,tt15335282,movie,An unexpected reunion between a traveling musician and his son opens old wounds as the two set out on a long journey to a troubadour festival,2022,TV-14,102 min,Drama,Turkey,tt15335282,5.9,"1,987"
106,Dated and Related,tt15292942,series,Pairs of siblings see each other's love life up close and personal as they search for 'the one' together. Will they act as the ultimate wingman to help you find love? Or scupper your plans?,2022–,TV-MA,N/A,Reality-TV,United Kingdom,tt15292942,4.5,471
107,Partner Track,tt15390524,series,"Centers on Ingrid Yun, an idealistic young lawyer, struggles with her moral compass and her passions as she fights to climb the partner track at an elite New York City law firm.",2022–,TV-MA,1 min,Drama,United States,tt15390524,6.8,"4,395"
108,Echoes,tt14954498,series,"Leni and Gina are identical twins who have secretly swapped their lives since they were children, culminating in a double life as adults, but one of the sisters goes missing and everything in their perfectly schemed world turns in...",2022,TV-MA,N/A,"Drama, Mystery, Thriller","Australia, United States",tt14954498,5.9,"10,167"
109,Pasión de gavilanes,tt0387763,series,"The Reyes brothers were three honest and good-natured men until the day a shocking, unforgettable tragedy sends them in search of revenge. Their plan takes an unexpected turn when they meet the three Elizondo sisters, the beautifu...",2003–2022,TV-MA,60 min,"Drama, Romance","Colombia, United States",tt0387763,7.8,"2,527"
110,Entrapped,tt21964626,series,Police investigate the disappearance of a cult member.,2022–,TV-MA,N/A,"Crime, Drama, Mystery",Iceland,tt21964626,7.0,"1,083"
111,Family Secrets,tt19723700,series,A couple's wedding day threatens to turn disastrous when they begin to unravel a web of secrets and lies that connects their two families.,2022–,TV-MA,N/A,"Comedy, Drama, Romance",Poland,tt19723700,6.0,412
112,That's Amor,tt21388556,movie,"After her job and relationship implode on the same day, Sofia starts from scratch and meets a dashing Spanish chef who might be her missing ingredient.",2022,TV-14,96 min,"Comedy, Romance",United States,tt21388556,5.2,"2,546"
113,Look Both Ways,tt14298328,movie,"On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career.",2022,TV-14,110 min,"Comedy, Drama, Romance",United States,tt14298328,6.3,"15,572"
114,Day Shift,tt13314558,movie,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.",2022,R,113 min,"Action, Comedy, Fantasy",United States,tt13314558,6.1,"70,257"
115,The Next 365 Days,tt21106646,movie,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.,2022,TV-MA,112 min,"Drama, Romance",Poland,tt21106646,2.7,"5,835"
116,Purple Hearts,tt4614584,movie,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur.",2022,TV-14,122 min,"Drama, Music, Romance",United States,tt4614584,6.7,"35,776"
117,The Figo Affair: The Transfer that Changed Football,tt21836538,movie,This documentary spotlights one of the most contentious deals in football history and the extraordinary player at the center of the storm: Luís Figo.,2022,TV-MA,105 min,"Documentary, Sport",United Kingdom,tt21836538,7.1,"3,815"
118,Royalteen,tt15022184,movie,"Follows prince Karl Johan and newcomer Lena, who have feelings for each other but are aware that their relationship might put them in an impossible situation, while he has to carry a nation on his shoulders, she carries lies on hers.",2022,TV-MA,107 min,"Drama, Romance",Norway,tt15022184,5.2,"1,686"
119,Rise of the Legend,tt3469592,movie,"An orphan, whose father has been killed by dark power, attempts to bring justice back to the town.",2014,Not Rated,131 min,"Action, Biography, Drama","Hong Kong, China",tt3469592,6.4,"3,969"
120,"Watch Out, We're Mad",tt0069697,movie,"After a tied first place in a local stunt race, two drivers start a contest to decide which of them will own the prize, a dune buggy. But when a mobster destroys the car, they are determined to get it back.",1974,G,102 min,"Action, Comedy","Italy, Spain",tt0069697,7.3,"12,688"
121,I Am a Killer,tt8300324,series,"Follows Death Row inmates, who tell the story of how they ended up there.",2018–2022,TV-MA,3 min,"Documentary, Crime",United Kingdom,tt8300324,7.4,"4,342"
122,Selling the OC,tt15907000,series,"Jason Oppenheim, owner of the Oppenheim Group, expands the company opening a second office in Newport Beach.",2022–,TV-MA,1 min,Reality-TV,United States,tt15907000,5.5,823
123,Kleo,tt15135104,series,"After the fall of the Berlin Wall, a former spy killer is set free and embarks on a revenge spree against the people who conspired to betray her.",2022–,TV-MA,N/A,"Action, Crime, Drama",Germany,tt15135104,7.4,"7,215"
124,Ludik,tt21341988,series,"To save a kidnapped family member, an enterprising furniture tycoon must use his secret diamond smuggling operation to transport guns across the border.",2022–,TV-MA,N/A,"Crime, Drama",South Africa,tt21341988,5.7,460
125,Under Fire,tt0086510,movie,Three journalists in a romantic triangle are involved in political intrigue during the last days of the corrupt Somozoa regime in Nicaragua before it falls to a popular revolution in 1979.,1983,R,128 min,"Drama, War","United States, Mexico",tt0086510,7.0,"7,900"
126,Another Self,tt14899624,series,Three close friends set off on a journey to Ayvalik and then to their reshaped future.,2022–,TV-MA,1 min,"Drama, Romance",Turkey,tt14899624,6.4,"3,333"
127,The Mummy,tt0120616,movie,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",1999,PG-13,124 min,"Action, Adventure, Fantasy",United States,tt0120616,7.1,"428,734"
128,Running with the Devil: The Wild World of John McAfee,tt21379574,movie,Life and death of software pioneer John McAfee who developed the software: McAfee Antivirus.,2022,TV-MA,105 min,"Documentary, Crime",United Kingdom,tt21379574,5.9,"2,842"
129,Untold: The Girlfriend Who Didn't Exist,tt21340300,movie,"From Notre Dame to the NFL, Manti Te'o's future in football showed promise until a secret online relationship sent his life and career spiraling.",2022,TV-MA,124 min,"Documentary, Biography, Sport",United States,tt21340300,7.2,"5,524"
130,The Great Wall,tt2034800,movie,"In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.",2016,PG-13,103 min,"Action, Adventure, Fantasy","United States, China, Hong Kong, Australia, Canada",tt2034800,5.9,"136,570"
131,Fullmetal Alchemist: The Revenge of Scar,tt18671386,movie,"When a mysterious figure starts to target State Alchemists for their sins against God, Alchemist Edward Elric and his brother Alphonse are at their most vulnerable, meanwhile the homunculi begin to unveil themselves once again.",2022,TV-14,125 min,"Action, Adventure, Fantasy",Japan,tt18671386,5.3,"1,531"
132,The Assistant,tt9000224,movie,"A searing look at a day in the life of an assistant to a powerful executive. As Jane follows her daily routine, she grows increasingly aware of the insidious abuse that threatens every aspect of her position.",2019,R,87 min,Drama,United States,tt9000224,6.4,"23,005"
133,Carter,tt21237030,movie,"Thrown straight into a dangerous mission with none of his memories intact, a man must escape death while trying to figure out who he is, how he ended up here, and who is the mysterious voice in his ear calling him ""Carter""?",2022,TV-MA,132 min,"Action, Thriller",South Korea,tt21237030,5.1,"7,853"
134,Darlings,tt14152140,movie,It follows the lives of two women as they find courage and love in exceptional circumstances.,2022,TV-14,133 min,"Comedy, Drama, Thriller",India,tt14152140,6.6,"16,771"
135,Glow Up: Britain's Next Make-Up Star,tt9680524,series,A talented group of aspiring make-up artists attempt to prove their potential to industry professionals in this competition hosted first by Stacey Dooley then by Maya Jama.,2019–,TV-14,32S min,"Game-Show, Reality-TV",United Kingdom,tt9680524,6.9,"2,368"
136,The Girl in the Mirror,tt13106334,series,"After losing her memory in a bizarre accident that kills most of her classmates, Alma tries to unravel what happened that day and regain her identity.",2022–,TV-MA,N/A,"Drama, Horror, Mystery",Spain,tt13106334,6.2,"1,660"
137,A Model Family,tt21289712,series,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier.",2022–,TV-MA,N/A,"Crime, Drama, Thriller",South Korea,tt21289712,6.6,916
138,The Angry Birds Movie 2,tt6095472,movie,The flightless birds and scheming green pigs take their feud to the next level.,2019,PG,97 min,"Animation, Action, Adventure","Finland, United States",tt6095472,6.4,"29,913"
139,Uncharted,tt1464335,movie,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",2022,PG-13,116 min,"Action, Adventure","Spain, United States",tt1464335,6.3,"192,391"
140,Inside the Mind of a Cat,tt21340412,movie,Cat experts dive into the mind of the feline to reveal the true capabilities of the pouncing pet in this captivating and cuddly documentary.,2022,TV-PG,67 min,Documentary,United States,tt21340412,6.9,"4,091"
141,Bank Robbers: The Last Great Heist,tt21281774,movie,"Through revealing interviews, the perpetrators of Argentina's most famous bank robbery detail how, and why, they carried out the spectacular 2006 operation.",2022,TV-14,109 min,"Documentary, Crime",Argentina,tt21281774,7.1,949
142,Nikamma,tt10687220,movie,A lazy slacker struggles to get along with his diligent sister-in-law - until they must step up and fight together against a common enemy.,2022,PG-13,152 min,"Action, Comedy, Drama",India,tt10687220,2.6,"1,559"
143,Wedding Season,tt11426572,movie,"Pressured by their parents to find spouses, Asha and Ravi pretend to date during a summer of weddings, only to find themselves falling for each other.",2022,TV-PG,98 min,"Comedy, Romance",United States,tt11426572,6.3,"7,609"
144,1917,tt8579674,movie,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",2019,R,119 min,"Action, Drama, War","United Kingdom, United States, India, Spain",tt8579674,8.2,"579,698"
145,Flight,tt1907668,movie,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",2012,R,138 min,"Drama, Thriller","United States, United Arab Emirates",tt1907668,7.3,"355,059"
146,The Informer,tt1833116,movie,An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.,2019,R,113 min,"Action, Crime, Drama","United Kingdom, Canada, United States",tt1833116,6.6,"37,436"
147,Recurrence,tt3754658,movie,"When a neglectful man, Liam, can't stop reliving the death of his girlfriend in his dreams, he must come to terms with his demons in order to discover the true power behind his dreams.",2014,Not Rated,19 min,"Short, Drama",United States,tt3754658,8.9,14
148,Heartsong,tt21339860,movie,"While serenading a wedding that quickly implodes, o nomadic musician falls for the bride, who runs afoul of her family. Now he has to save her life.",2022,TV-14,95 min,"Comedy, Drama, Music",Turkey,tt21339860,5.8,"1,401"
149,I Just Killed My Dad,tt21315194,series,"Anthony Templet shot his father and never denied it. But why he did it is a complex question with profound implications. Explore Anthony's psyche prior to the events of June 3, 2019 and the journey of his mental and emotional afte...",2022,TV-MA,N/A,"Documentary, Crime",United States,tt21315194,6.8,"4,623"
150,Keep Breathing,tt14117010,series,"When a small plane crashes in the middle of the Canadian wilderness, a lone woman must battle the elements and odds to survive.",2022,TV-MA,1 min,"Adventure, Drama, Thriller",United States,tt14117010,5.2,"10,848"
151,Café con aroma de mujer,tt0216459,series,Love story between Gaviota and Sebastian. Gaviota is a poor harvester and Sebastian comes from a rich Colombian family.,1993–,N/A,60 min,"Drama, Romance",Colombia,tt0216459,8.4,621
152,Spider-Man: Far from Home,tt6320628,movie,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",2019,PG-13,129 min,"Action, Adventure, Sci-Fi",United States,tt6320628,7.4,"486,617"
153,The Age of Adaline,tt1655441,movie,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",2015,PG-13,112 min,"Drama, Fantasy, Romance","United States, Canada",tt1655441,7.2,"181,761"
154,Tower Heist,tt0471042,movie,"When a group of hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme, they conspire to rob his high-rise residence.",2011,PG-13,104 min,"Action, Comedy, Crime","United States, Japan",tt0471042,6.2,"145,007"
155,Men in Black 3,tt1409024,movie,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,2012,PG-13,106 min,"Action, Adventure, Comedy","United States, United Arab Emirates",tt1409024,6.8,"363,484"
156,The Entitled,tt1650535,movie,"A young man, broke and jobless, abducts three rich college kids to try and get money from their fathers.",2011,R,91 min,"Crime, Thriller",Canada,tt1650535,6.1,"6,675"
157,Buba,tt21195548,movie,"When a small-town con artist joins the local mafia with his manipulative brother, his obsession with balancing his karma gets hilariously brutal.",2022,TV-MA,94 min,"Comedy, Drama",Germany,tt21195548,5.8,"1,929"
158,Uncoupled,tt15466144,series,"Michael's life seemed to be perfect, until his long time partner blindsided him after 17 years of being in long time relationship. He has to confront the nightmares of losing his soulmate and suddenly finding himself as a single g...",2022–,TV-MA,N/A,"Comedy, Drama, Romance",United States,tt15466144,7.0,"14,594"
159,Trainwreck: Woodstock '99,tt21217912,series,"Woodstock 1969 promised peace and music, but its '99 revival delivered days of rage, riots and real harm. Why did it go so horribly wrong?",2022,TV-MA,1 min,"Documentary, History, Music",United States,tt21217912,7.4,"15,086"
160,Persuasion,tt13456318,movie,"Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?",2022,PG,108 min,"Drama, Romance",United States,tt13456318,5.7,"26,579"
161,Line of Duty,tt2303687,series,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",2012–2021,TV-14,60 min,"Crime, Drama, Mystery",United Kingdom,tt2303687,8.7,"59,078"
162,A Cut Above,tt21265550,movie,"With his mom's salon on the brink of bankruptcy, a dedicated son rolls up his sleeves to help and discovers himself as the coolest barber on the block.",2022,N/A,90 min,Comedy,Brazil,tt21265550,N/A,169
163,Live Is Life,tt12923028,movie,Five friends spend one last summer together as they begin transitioning to adulthood.,2021,TV-MA,109 min,"Comedy, Drama",Spain,tt12923028,6.3,934
164,The Most Hated Man on the Internet,tt21098728,series,"Follows the story of a woman who stood up to Hunter Moore, a self-proclaimed ""professional life ruiner,"" after photos of her daughter being naked were posted online.",2022,TV-MA,2 min,"Documentary, Crime",United Kingdom,tt21098728,6.8,"5,900"
165,Oh My Venus,tt5189944,series,A lawyer in her thirties coming out of a long relationship decides to regain her figure and health after meeting a renowned personal trainer who obsesses with leading a healthy lifestyle after suffering a serious injury in his chi...,2015–2016,N/A,60 min,"Comedy, Drama, Romance",South Korea,tt5189944,7.8,"5,106"
166,Clean,tt10023022,movie,"Tormented by his past, a garbage man named Clean attempts a quiet life of redemption. But, soon finds himself forced to reconcile with the violence of his past.",2021,Not Rated,94 min,"Action, Crime, Drama",United States,tt10023022,5.6,"7,877"
167,Daughter of the Wolf,tt7615052,movie,A military veteran hunts the men who kidnapped her son.,2019,R,88 min,"Action, Thriller",Canada,tt7615052,4.6,"7,637"
168,CHIPS,tt0493405,movie,An inexperienced rookie is teamed up with a hardened pro at the California Highway Patrol in Los Angeles; the newbie officer soon learns his partner is really an undercover Fed investigating a heist which may involve some crooked ...,2017,R,100 min,"Action, Comedy, Crime",United States,tt0493405,6.0,"48,314"
169,My Daughter's Killer,tt21049266,movie,A father fights for decades to bring his daughter's killer to justice in France and Germany before taking extreme measures,2022,TV-MA,83 min,"Documentary, Crime",France,tt21049266,6.9,"1,397"
170,Spider-Man: No Way Home,tt10872600,movie,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",2021,PG-13,148 min,"Action, Adventure, Fantasy",United States,tt10872600,8.3,"739,216"
